<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SBERP;D;20110915;000000;65.9000000;67.0000000;65.5400000;65.6100000;37303200
SBERP;D;20110916;000000;66.4000000;66.7600000;64.7700000;65.5800000;18758700
SBERP;D;20110919;000000;64.8800000;65.9000000;64.3200000;65.1700000;15277100
SBERP;D;20110920;000000;65.0500000;66.4400000;65.0500000;66.3000000;19431700
SBERP;D;20110921;000000;66.2500000;66.6600000;65.5100000;65.6600000;14302300
SBERP;D;20110922;000000;64.0000000;64.0500000;59.1100000;59.4100000;37166800
SBERP;D;20110923;000000;58.7600000;58.9800000;53.0200000;56.8100000;45802300
SBERP;D;20110926;000000;55.9000000;58.2500000;52.9500000;56.4000000;35249800
SBERP;D;20110927;000000;57.8500000;58.5000000;56.8800000;57.4300000;29226300
SBERP;D;20110928;000000;56.7700000;57.1800000;55.8000000;56.0800000;19468300
SBERP;D;20110929;000000;55.6100000;58.5000000;55.1100000;57.8100000;26450200
SBERP;D;20110930;000000;57.7000000;57.9600000;53.8800000;54.4700000;27248300
SBERP;D;20111003;000000;53.0000000;53.8300000;51.2100000;53.3300000;24831900
SBERP;D;20111004;000000;52.6800000;53.6900000;48.2900000;49.0900000;39753200
SBERP;D;20111005;000000;50.4800000;50.5900000;46.2500000;47.7000000;50620900
SBERP;D;20111006;000000;48.4500000;50.0500000;48.1000000;49.5200000;39550000
SBERP;D;20111007;000000;49.9900000;51.8000000;49.9900000;51.1200000;36082700
SBERP;D;20111010;000000;51.6000000;52.7000000;50.3800000;52.6100000;27545500
SBERP;D;20111011;000000;52.9000000;53.6500000;51.8800000;53.2500000;41075000
SBERP;D;20111012;000000;53.0000000;56.4000000;52.8100000;55.4000000;53919600
SBERP;D;20111013;000000;55.4100000;56.6200000;54.5500000;55.3400000;44332900
SBERP;D;20111014;000000;55.5000000;59.0800000;54.8000000;58.7000000;52206100
SBERP;D;20111017;000000;59.4000000;62.0900000;57.7500000;58.4400000;78275600
SBERP;D;20111018;000000;57.7000000;60.6700000;57.4700000;58.7900000;61198700
SBERP;D;20111019;000000;59.6000000;60.5900000;58.8700000;60.0600000;44448600
SBERP;D;20111020;000000;59.0000000;61.1000000;58.3000000;61.0000000;40413800
SBERP;D;20111021;000000;61.1500000;62.3500000;60.7200000;61.9800000;40535300
SBERP;D;20111024;000000;62.6900000;63.4500000;62.3200000;63.2000000;32470900
SBERP;D;20111025;000000;63.2800000;63.2900000;60.8800000;61.3400000;25971100
SBERP;D;20111026;000000;61.2100000;63.6500000;61.2000000;62.6100000;27174400
SBERP;D;20111027;000000;63.9800000;65.1300000;63.7100000;63.9300000;40521500
SBERP;D;20111028;000000;64.5000000;64.8900000;63.3500000;64.1500000;35851300
SBERP;D;20111031;000000;63.8500000;64.9900000;62.6400000;63.8800000;32320700
SBERP;D;20111101;000000;63.0800000;63.4000000;59.5400000;59.8700000;26303200
SBERP;D;20111102;000000;60.5000000;61.6000000;60.0100000;61.4600000;32207900
SBERP;D;20111103;000000;60.7400000;63.4900000;59.7000000;63.3700000;39640800
SBERP;D;20111107;000000;63.3100000;64.7100000;63.0000000;64.2700000;23376500
SBERP;D;20111108;000000;64.2800000;65.9700000;64.1500000;65.5500000;34928200
SBERP;D;20111109;000000;65.9400000;66.6500000;62.4400000;62.4400000;36324200
SBERP;D;20111110;000000;61.9000000;64.4100000;61.1000000;63.4600000;33538500
SBERP;D;20111111;000000;64.4900000;64.5000000;62.5900000;63.9500000;19979900
SBERP;D;20111114;000000;64.8000000;65.4000000;63.3600000;63.6700000;20757100
SBERP;D;20111115;000000;63.3400000;64.3600000;62.4000000;63.4700000;23914600
SBERP;D;20111116;000000;63.0400000;64.1100000;62.5500000;63.0200000;19224100
SBERP;D;20111117;000000;62.9500000;63.6300000;61.0200000;62.5100000;26968800
SBERP;D;20111118;000000;61.2600000;62.5000000;60.8000000;62.4600000;17976600
SBERP;D;20111121;000000;61.6700000;62.2800000;59.1000000;59.1000000;23458700
SBERP;D;20111122;000000;59.3000000;60.6400000;58.4000000;58.6000000;20369700
SBERP;D;20111123;000000;58.5000000;59.9000000;57.1300000;59.2600000;26394900
SBERP;D;20111124;000000;58.9000000;59.7900000;58.6000000;58.6300000;8844000
SBERP;D;20111125;000000;58.3300000;60.2100000;57.5000000;60.1900000;19038000
SBERP;D;20111128;000000;61.0200000;64.5600000;61.0000000;64.4100000;27389700
SBERP;D;20111129;000000;64.6200000;65.3500000;63.7200000;64.0600000;38947600
SBERP;D;20111130;000000;63.9000000;67.8000000;63.1900000;67.5000000;55696800
SBERP;D;20111201;000000;68.3000000;68.8800000;67.0300000;67.8000000;47477500
SBERP;D;20111202;000000;67.8400000;69.1000000;67.6700000;68.7900000;40695700
SBERP;D;20111205;000000;68.9800000;69.2900000;68.2900000;69.0000000;13862100
SBERP;D;20111206;000000;68.4000000;68.5000000;65.7500000;65.8000000;29947600
SBERP;D;20111207;000000;66.2000000;67.2800000;63.1000000;64.5300000;31233200
SBERP;D;20111208;000000;64.9000000;66.2600000;64.4000000;65.3100000;27946800
SBERP;D;20111209;000000;63.4600000;63.9800000;60.9300000;61.4700000;37635600
SBERP;D;20111212;000000;61.8000000;63.1800000;59.1100000;59.5900000;24398400
SBERP;D;20111213;000000;59.8000000;61.1800000;57.8100000;60.8000000;38973400
SBERP;D;20111214;000000;60.0200000;61.3700000;59.4500000;60.2700000;30021300
SBERP;D;20111215;000000;59.0200000;61.0000000;59.0000000;60.8000000;29083900
SBERP;D;20111216;000000;61.0000000;61.8400000;59.7200000;60.2500000;17015300
SBERP;D;20111219;000000;59.2100000;60.2800000;58.6500000;59.8900000;18780100
SBERP;D;20111220;000000;59.8900000;61.0000000;58.8000000;61.0000000;19305000
SBERP;D;20111221;000000;61.5600000;61.7800000;58.8500000;58.9000000;26455200
SBERP;D;20111222;000000;59.0600000;59.6900000;58.6000000;58.8300000;16594000
SBERP;D;20111223;000000;59.4000000;60.0300000;58.6700000;59.1000000;15032100
SBERP;D;20111226;000000;59.4400000;61.1500000;59.2500000;60.3600000;11888100
SBERP;D;20111227;000000;60.3200000;60.6300000;59.1100000;59.3900000;10421700
SBERP;D;20111228;000000;59.2000000;59.6500000;58.4000000;58.6400000;9748000
SBERP;D;20111229;000000;58.4200000;58.5000000;57.1100000;58.3800000;15296800
SBERP;D;20111230;000000;58.8000000;59.3400000;58.2500000;59.2400000;7864100
SBERP;D;20120103;000000;59.8300000;61.3900000;59.7000000;61.3000000;8232800
SBERP;D;20120104;000000;61.3500000;62.4500000;60.8500000;61.3000000;13374700
SBERP;D;20120105;000000;61.3000000;61.8400000;60.4000000;60.6300000;8052200
SBERP;D;20120106;000000;60.8300000;61.5800000;60.2000000;60.9200000;7288400
SBERP;D;20120109;000000;60.8000000;61.9800000;60.5000000;61.9800000;10879000
SBERP;D;20120110;000000;62.2500000;64.3300000;62.2200000;64.1500000;32960700
SBERP;D;20120111;000000;63.9700000;64.2600000;62.6400000;62.8400000;17415600
SBERP;D;20120112;000000;63.0200000;63.8500000;62.5000000;62.6200000;14978900
SBERP;D;20120113;000000;62.9800000;63.1900000;62.2600000;62.5100000;18916900
SBERP;D;20120116;000000;61.9900000;63.0000000;61.5700000;62.5200000;11857200
SBERP;D;20120117;000000;63.1500000;63.9000000;62.9500000;63.2500000;14446200
SBERP;D;20120118;000000;63.3000000;63.7500000;62.8000000;63.2400000;14837900
SBERP;D;20120119;000000;63.8000000;64.2100000;63.6000000;64.0900000;14807300
SBERP;D;20120120;000000;64.1500000;64.3900000;63.4000000;63.7300000;10134600
SBERP;D;20120123;000000;63.7100000;64.0000000;62.8800000;63.9000000;16261300
SBERP;D;20120124;000000;63.7000000;64.6900000;63.4000000;64.3800000;20222700
SBERP;D;20120125;000000;64.7500000;65.5900000;64.5000000;64.8600000;32920800
SBERP;D;20120126;000000;65.4100000;66.8400000;65.4100000;66.7100000;29735400
SBERP;D;20120127;000000;66.3000000;66.9900000;65.8000000;66.0600000;19018100
SBERP;D;20120130;000000;65.8000000;66.2000000;64.8200000;65.0000000;18420800
SBERP;D;20120131;000000;65.3900000;66.4400000;65.2500000;66.0000000;17182000
SBERP;D;20120201;000000;65.7800000;67.5200000;65.1200000;67.4000000;22154000
SBERP;D;20120202;000000;67.7200000;68.1300000;67.1800000;67.6200000;28503300
SBERP;D;20120203;000000;67.6000000;69.0800000;67.3000000;69.0000000;16635500
SBERP;D;20120206;000000;69.2700000;69.3000000;68.4900000;69.1000000;18497500
SBERP;D;20120207;000000;69.1700000;69.6600000;67.9700000;68.3700000;20473800
SBERP;D;20120208;000000;68.8500000;71.5100000;68.8500000;71.4000000;32544800
SBERP;D;20120209;000000;71.5000000;72.6800000;70.6100000;72.3500000;44423800
SBERP;D;20120210;000000;71.8900000;72.1900000;70.6400000;71.0500000;18701900
SBERP;D;20120213;000000;71.7000000;73.4300000;71.6600000;73.3900000;16959200
SBERP;D;20120214;000000;73.0000000;74.3300000;72.6200000;73.4500000;19836900
SBERP;D;20120215;000000;74.3400000;74.7000000;73.7500000;74.3000000;13943900
SBERP;D;20120216;000000;73.2700000;73.4900000;72.5000000;73.1200000;15393600
SBERP;D;20120217;000000;74.2000000;74.3700000;73.2600000;74.3700000;16357100
SBERP;D;20120220;000000;74.9300000;75.4700000;74.4400000;74.8700000;12341800
SBERP;D;20120221;000000;75.0100000;75.0700000;73.3700000;73.8600000;18066400
SBERP;D;20120222;000000;73.9300000;74.4300000;72.7500000;73.5700000;16322000
SBERP;D;20120224;000000;74.1000000;75.9800000;73.6200000;75.8400000;21840600
SBERP;D;20120227;000000;75.5800000;76.7000000;75.1000000;75.9000000;14678900
SBERP;D;20120228;000000;76.2500000;76.5300000;74.5000000;74.6700000;14375700
SBERP;D;20120229;000000;75.1000000;76.3500000;75.0500000;75.9500000;14872800
SBERP;D;20120301;000000;75.3800000;75.6100000;74.7700000;75.5800000;11325400
SBERP;D;20120302;000000;76.0100000;77.4800000;75.6500000;77.0900000;26109100
SBERP;D;20120305;000000;77.0900000;78.5900000;77.0900000;77.5900000;17620000
SBERP;D;20120306;000000;77.1500000;77.2000000;73.8000000;73.8100000;25082700
SBERP;D;20120307;000000;74.0000000;74.7800000;73.2300000;74.5300000;20630900
SBERP;D;20120311;000000;76.0000000;76.2500000;75.8000000;76.1300000;8386000
SBERP;D;20120312;000000;75.7800000;77.3800000;75.3000000;77.0800000;23834400
SBERP;D;20120313;000000;77.3900000;79.4500000;77.3300000;79.2200000;21080900
SBERP;D;20120314;000000;80.0500000;83.8300000;79.9000000;83.2400000;66273200
SBERP;D;20120315;000000;83.3700000;83.3800000;80.1100000;80.9900000;51691300
SBERP;D;20120316;000000;81.2000000;82.6800000;80.3400000;82.6200000;29537500
SBERP;D;20120319;000000;82.2000000;83.1200000;80.6900000;80.9200000;31070400
SBERP;D;20120320;000000;81.1600000;81.4500000;78.9600000;78.9600000;25959600
SBERP;D;20120321;000000;79.1900000;80.5700000;77.8100000;78.7100000;24424000
SBERP;D;20120322;000000;78.4600000;79.2900000;76.2200000;76.4100000;28943300
SBERP;D;20120323;000000;76.7000000;77.2000000;75.8100000;76.4100000;24222700
SBERP;D;20120326;000000;77.3400000;80.1200000;77.0100000;79.7600000;32376400
SBERP;D;20120327;000000;80.2000000;81.0800000;78.8100000;79.2600000;34130400
SBERP;D;20120328;000000;78.9800000;79.8800000;77.9000000;77.9200000;26217900
SBERP;D;20120329;000000;77.6200000;78.5800000;76.3000000;76.3600000;26978900
