<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
USD000000TOD;D;20160513;000000;64.9520000;65.4600000;64.6850000;65.3600000;1165597000
USD000000TOD;D;20160516;000000;64.8900000;65.1500000;64.5900000;64.6300000;1154653000
USD000000TOD;D;20160517;000000;64.5290000;65.0500000;64.3500000;64.7700000;1363829000
USD000000TOD;D;20160518;000000;64.9500000;65.4770000;64.8150000;65.2100000;1192073000
USD000000TOD;D;20160519;000000;66.0900000;67.1000000;65.9600000;66.9850000;1686779000
USD000000TOD;D;20160520;000000;66.4330000;66.9230000;66.2000000;66.7380000;1244099000
USD000000TOD;D;20160523;000000;67.0540000;67.2180000;66.7700000;66.9100000;1132300000
USD000000TOD;D;20160524;000000;67.1870000;67.1880000;66.5660000;66.7700000;1089600000
USD000000TOD;D;20160525;000000;66.0000000;66.0000000;65.3510000;65.3750000;1117414000
USD000000TOD;D;20160526;000000;64.8190000;65.6290000;64.5900000;65.5250000;1081422000
USD000000TOD;D;20160527;000000;65.6200000;66.1550000;65.5100000;66.0830000;1231301000
USD000000TOD;D;20160531;000000;65.7750000;66.1100000;65.7000000;65.9000000;1150800000
USD000000TOD;D;20160601;000000;66.7850000;67.3000000;66.4950000;67.2500000;1624785000
USD000000TOD;D;20160602;000000;66.9700000;67.6875000;66.6025000;67.5700000;1414340000
USD000000TOD;D;20160603;000000;66.7200000;67.1100000;65.6975000;65.9200000;1533336000
USD000000TOD;D;20160606;000000;65.6500000;65.9775000;65.2175000;65.3025000;1065262000
USD000000TOD;D;20160607;000000;65.5325000;65.5350000;64.8175000;64.9900000;1525285000
USD000000TOD;D;20160608;000000;64.5825000;64.7975000;63.4800000;63.6500000;1581371000
USD000000TOD;D;20160609;000000;63.5950000;64.4800000;63.3775000;64.2650000;1680237000
USD000000TOD;D;20160610;000000;64.5700000;64.8500000;64.0400000;64.7200000;1648677000
USD000000TOD;D;20160614;000000;66.0900000;66.2975000;65.5700000;66.0800000;2003054000
USD000000TOD;D;20160615;000000;65.9850000;66.0425000;65.5500000;65.7400000;1066570000
USD000000TOD;D;20160616;000000;65.9025000;66.0350000;65.6225000;66.0000000;1271109000
