<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
GMKN;D;20120717;000000;5252.0000000;5260.0000000;5151.0000000;5167.0000000;280009
GMKN;D;20120718;000000;5195.0000000;5197.0000000;5070.0000000;5089.0000000;196646
GMKN;D;20120719;000000;5115.0000000;5178.0000000;5070.0000000;5140.0000000;232005
GMKN;D;20120720;000000;5127.0000000;5145.0000000;5085.0000000;5095.0000000;120429
GMKN;D;20120723;000000;5070.0000000;5094.0000000;4921.0000000;4960.0000000;347808
GMKN;D;20120724;000000;5004.0000000;5015.0000000;4929.0000000;4961.0000000;216861
GMKN;D;20120725;000000;4940.0000000;5080.0000000;4905.0000000;4930.0000000;257685
GMKN;D;20120726;000000;4950.0000000;5012.0000000;4910.0000000;4980.0000000;208410
GMKN;D;20120727;000000;5010.0000000;5067.0000000;5000.0000000;5039.0000000;173049
GMKN;D;20120730;000000;5074.0000000;5149.0000000;5070.0000000;5103.0000000;176092
GMKN;D;20120731;000000;5119.0000000;5134.0000000;4977.0000000;5002.0000000;161413
GMKN;D;20120801;000000;5000.0000000;5090.0000000;4982.0000000;5045.0000000;116796
GMKN;D;20120802;000000;5025.0000000;5170.0000000;4991.0000000;5035.0000000;285364
GMKN;D;20120803;000000;5015.0000000;5123.0000000;5007.0000000;5095.0000000;159395
GMKN;D;20120806;000000;5113.0000000;5167.0000000;5065.0000000;5097.0000000;214228
GMKN;D;20120807;000000;5125.0000000;5180.0000000;5075.0000000;5161.0000000;231984
GMKN;D;20120808;000000;5144.0000000;5169.0000000;5115.0000000;5116.0000000;134695
GMKN;D;20120809;000000;5135.0000000;5170.0000000;5060.0000000;5130.0000000;205626
GMKN;D;20120810;000000;5109.0000000;5147.0000000;5015.0000000;5070.0000000;204169
GMKN;D;20120813;000000;5070.0000000;5100.0000000;5027.0000000;5053.0000000;204116
GMKN;D;20120814;000000;5061.0000000;5095.0000000;5041.0000000;5078.0000000;132825
GMKN;D;20120815;000000;5075.0000000;5079.0000000;4993.0000000;5025.0000000;155551
GMKN;D;20120816;000000;5045.0000000;5063.0000000;4954.0000000;5001.0000000;155559
GMKN;D;20120817;000000;5026.0000000;5029.0000000;4975.0000000;4991.0000000;107187
GMKN;D;20120820;000000;4999.0000000;5015.0000000;4921.0000000;4975.0000000;209939
GMKN;D;20120821;000000;5011.0000000;5095.0000000;4991.0000000;5041.0000000;301871
GMKN;D;20120822;000000;4996.0000000;5020.0000000;4980.0000000;4992.0000000;148454
GMKN;D;20120823;000000;5029.0000000;5082.0000000;5015.0000000;5039.0000000;244582
GMKN;D;20120824;000000;5021.0000000;5043.0000000;4974.0000000;5039.0000000;224638
GMKN;D;20120827;000000;5046.0000000;5059.0000000;5022.0000000;5033.0000000;115009
GMKN;D;20120828;000000;5036.0000000;5079.0000000;5022.0000000;5028.0000000;165646
GMKN;D;20120829;000000;5033.0000000;5050.0000000;4950.0000000;4950.0000000;182173
GMKN;D;20120830;000000;4949.0000000;4979.0000000;4876.0000000;4885.0000000;257445
GMKN;D;20120831;000000;4897.0000000;4945.0000000;4756.0000000;4774.0000000;549025
GMKN;D;20120903;000000;4808.0000000;4849.0000000;4777.0000000;4826.0000000;258597
GMKN;D;20120904;000000;4836.0000000;4852.0000000;4760.0000000;4787.0000000;303264
GMKN;D;20120905;000000;4780.0000000;4810.0000000;4750.0000000;4758.0000000;176108
GMKN;D;20120906;000000;4785.0000000;4896.0000000;4769.0000000;4882.0000000;361186
GMKN;D;20120907;000000;4903.0000000;4994.0000000;4895.0000000;4945.0000000;557948
GMKN;D;20120910;000000;4947.0000000;4957.0000000;4880.0000000;4920.0000000;235202
GMKN;D;20120911;000000;4900.0000000;4949.0000000;4870.0000000;4946.0000000;262741
GMKN;D;20120912;000000;4964.0000000;4964.0000000;4900.0000000;4905.0000000;397818
GMKN;D;20120913;000000;4908.0000000;4918.0000000;4875.0000000;4889.0000000;226913
GMKN;D;20120914;000000;5009.0000000;5192.0000000;4999.0000000;5175.0000000;1655666
GMKN;D;20120917;000000;5149.0000000;5203.0000000;5110.0000000;5130.0000000;562271
GMKN;D;20120918;000000;5105.0000000;5159.0000000;5100.0000000;5116.0000000;476449
GMKN;D;20120919;000000;5145.0000000;5154.0000000;5020.0000000;5049.0000000;520912
GMKN;D;20120920;000000;5020.0000000;5080.0000000;5001.0000000;5043.0000000;349462
GMKN;D;20120921;000000;5084.0000000;5098.0000000;5006.0000000;5026.0000000;281664
GMKN;D;20120924;000000;4997.0000000;5015.0000000;4950.0000000;4991.0000000;238141
